Ticker,Sector,EBITDA,Sector Multiple,Enterprise Value (B),Estimated Market Cap (B),Shares Outstanding (B),Value per Share ($),Error
PAG,Consumer Cyclical,1.5,12.0,18.04,9.68,0.07,146.62,
PNR,Industrials,1.06,10.1,10.69,9.23,0.16,56.31,
PEN,Healthcare,0.21,13.3,2.79,2.99,0.04,76.76,
PEP,Consumer Defensive,17.03,11.2,190.71,147.3,1.37,107.59,
PFGC,Consumer Defensive,1.5,11.2,16.77,9.08,0.16,58.18,
PR,Energy,3.88,6.5,25.25,21.53,0.7,30.64,
PRGO,Healthcare,0.86,13.3,11.49,8.08,0.14,58.69,
PSA,Real Estate,3.35,10.2,34.2,24.86,0.18,141.71,
PEG,Utilities,4.2,9.0,37.83,14.58,0.5,29.21,
PHM,Consumer Cyclical,3.63,12.0,43.57,42.54,0.2,215.64,
PSTG,Technology,0.22,14.8,3.28,4.59,0.33,14.05,
PVH,Consumer Cyclical,0.97,12.0,11.69,8.15,0.05,169.44,
QGEN,Healthcare,1.01,13.3,13.38,12.89,0.22,59.47,
QRVO,Technology,0.68,14.8,10.05,9.66,0.09,104.27,
QCOM,Technology,13.87,14.8,205.29,200.51,1.08,185.83,
PWR,Industrials,2.29,10.1,23.12,18.52,0.15,124.28,
QS,Consumer Cyclical,-0.4,12.0,-4.77,-4.06,0.52,-7.76,
DGX,Healthcare,2.06,13.3,27.37,21.31,0.11,190.54,
QDEL,Healthcare,0.58,13.3,7.71,5.06,0.07,74.47,
QXO,Technology,-0.11,14.8,-1.58,3.5,0.67,5.23,
RAL,,,,,,,,Missing EBITDA
RL,Consumer Cyclical,1.21,12.0,14.55,13.59,0.04,351.23,
RRC,Energy,1.08,6.5,6.99,5.61,0.24,23.54,
RJF,,,,,,,,Missing EBITDA
RYN,Real Estate,0.53,10.2,5.39,5.22,0.15,33.74,
RBA,Industrials,1.23,10.1,12.4,8.71,0.19,46.94,
RBC,Industrials,0.5,10.1,5.02,4.18,0.03,132.32,
O,Real Estate,4.92,10.2,50.13,22.07,0.91,24.14,
RDDT,Communication Services,0.15,12.7,1.87,3.91,0.13,29.02,
RRX,Industrials,1.21,10.1,12.19,7.51,0.07,113.13,
REG,Real Estate,0.98,10.2,10.0,5.11,0.18,28.15,
REGN,Healthcare,4.47,13.3,59.41,64.17,0.1,616.04,
RF,,,,,,,,Missing EBITDA
RGA,Financial Services,1.53,9.8,15.01,15.19,0.07,229.87,
RS,Basic Materials,1.32,8.7,11.44,9.95,0.05,189.14,
RNR,Financial Services,3.26,9.8,32.0,60.15,0.05,1278.0,
RGEN,Healthcare,0.13,13.3,1.68,1.7,0.06,30.3,
RSG,Industrials,5.14,10.1,51.93,38.84,0.31,124.4,
RMD,Healthcare,1.86,13.3,24.74,25.1,0.15,171.19,
RVMD,Healthcare,-0.89,13.3,-11.85,-9.84,0.19,-52.65,
RVTY,Healthcare,0.84,13.3,11.17,8.79,0.12,75.73,
REXR,Real Estate,0.65,10.2,6.67,3.74,0.24,15.82,
REYN,Consumer Cyclical,0.66,12.0,7.96,6.28,0.21,29.87,
RH,Consumer Cyclical,0.5,12.0,5.99,2.1,0.02,111.84,
RNG,Technology,0.3,14.8,4.46,3.32,0.08,41.13,
RITM,,,,,,,,Missing EBITDA
RIVN,Consumer Cyclical,-2.73,12.0,-32.71,-30.1,1.21,-24.89,
RLI,Financial Services,0.42,9.8,4.11,4.13,0.09,44.97,
RHI,Industrials,0.22,10.1,2.21,2.35,0.1,23.09,
HOOD,,,,,,,,Missing EBITDA
RBLX,Communication Services,-0.85,12.7,-10.86,-10.01,0.65,-15.53,
RKT,Financial Services,0.6,9.8,5.89,-8.96,0.14,-64.77,
ROK,Industrials,1.62,10.1,16.36,12.98,0.11,115.44,
ROIV,Healthcare,-1.07,13.3,-14.27,-9.48,0.68,-13.89,
ROKU,Communication Services,0.14,12.7,1.82,3.5,0.13,26.88,
ROL,Consumer Cyclical,0.8,12.0,9.63,8.79,0.48,18.13,
ROP,Technology,2.95,14.8,43.65,35.03,0.11,325.54,
ROST,Consumer Cyclical,3.05,12.0,36.65,35.42,0.33,108.3,
RCL,Consumer Cyclical,6.19,12.0,74.27,55.27,0.27,203.46,
RGLD,Basic Materials,0.52,8.7,4.5,4.64,0.07,70.46,
RPRX,,,,,,,,Missing EBITDA
RPM,Basic Materials,1.11,8.7,9.67,6.94,0.13,54.06,
RTX,Industrials,14.07,10.1,142.08,103.26,1.34,77.15,
RBRK,Technology,-0.48,14.8,-7.12,-6.72,0.12,-54.42,
RYAN,Financial Services,0.77,9.8,7.55,4.08,0.13,31.88,
R,Industrials,2.77,10.1,28.02,19.48,0.04,477.47,
SPGI,Financial Services,7.27,9.8,71.25,61.08,0.31,200.06,
SWKS,Technology,0.87,14.8,12.83,12.94,0.15,87.18,
SFD,Consumer Defensive,1.5,11.2,16.74,15.34,0.39,39.01,
SJM,Consumer Defensive,2.16,11.2,24.15,16.41,0.11,153.8,
SW,Consumer Cyclical,4.33,12.0,51.92,38.34,0.52,73.43,
SNA,Industrials,1.35,10.1,13.67,13.83,0.05,265.07,
SNOW,Technology,-1.3,14.8,-19.25,-18.03,0.33,-54.03,
SOFI,,,,,,,,Missing EBITDA
SOLV,Healthcare,1.37,13.3,18.22,10.9,0.17,62.85,
SGI,Consumer Cyclical,0.72,12.0,8.63,1.89,0.21,9.04,
SON,Consumer Cyclical,1.09,12.0,13.06,7.64,0.1,77.46,
SHC,Healthcare,0.53,13.3,6.99,4.97,0.28,17.51,
SO,Utilities,13.36,9.0,120.28,50.72,1.1,46.1,
SCCO,Basic Materials,6.76,8.7,58.84,55.4,0.8,68.9,
SSB,,,,,,,,Missing EBITDA
LUV,Industrials,1.65,10.1,16.68,15.17,0.53,28.89,
SPB,Consumer Defensive,0.26,11.2,2.94,2.3,0.02,95.15,
SPR,Industrials,-1.45,10.1,-14.6,-19.67,0.12,-167.48,
SPOT,Communication Services,1.93,12.7,24.46,28.86,0.21,140.25,
SSNC,Technology,1.95,14.8,28.92,22.38,0.24,91.63,
STAG,Real Estate,0.59,10.2,5.98,2.93,0.19,15.72,
SARO,Industrials,0.62,10.1,6.23,3.84,0.33,11.48,
SWK,Industrials,1.45,10.1,14.66,7.83,0.15,50.6,
SBUX,Consumer Cyclical,5.58,12.0,66.92,43.52,1.14,38.28,
STWD,,,,,,,,Missing EBITDA
STT,,,,,,,,Missing EBITDA
STLD,Basic Materials,1.8,8.7,15.7,12.41,0.15,83.61,
STE,Healthcare,1.5,13.3,20.01,18.22,0.1,185.03,
SF,,,,,,,,Missing EBITDA
SYK,Healthcare,6.39,13.3,84.96,70.3,0.38,183.87,
SMMT,Healthcare,-0.24,13.3,-3.13,-2.78,0.74,-3.74,
SUI,Real Estate,1.24,10.2,12.61,9.55,0.13,76.31,
SMCI,Technology,1.31,14.8,19.41,19.49,0.6,32.66,
SYF,,,,,,,,Missing EBITDA
SNPS,Technology,1.47,14.8,21.78,25.31,0.19,136.76,
SNV,,,,,,,,Missing EBITDA
SYY,Consumer Defensive,4.48,11.2,50.16,36.74,0.48,76.95,
TMUS,Communication Services,32.07,12.7,407.28,298.85,1.13,265.55,
TTWO,Communication Services,0.6,12.7,7.63,6.16,0.18,33.38,
TLN,Utilities,0.53,9.0,4.78,1.83,0.05,40.12,
TPR,Consumer Cyclical,1.54,12.0,18.51,15.46,0.21,74.42,
TRGP,Energy,4.49,6.5,29.19,12.46,0.22,57.89,
TGT,Consumer Defensive,8.96,11.2,100.36,83.79,0.45,184.4,
SNX,Technology,1.67,14.8,24.68,21.35,0.08,258.84,
FTI,Energy,1.62,6.5,10.52,9.87,0.41,24.02,
TDY,Technology,1.43,14.8,21.16,18.86,0.05,402.18,
TFX,Healthcare,0.91,13.3,12.17,10.33,0.04,233.76,
TEM,Healthcare,-0.16,13.3,-2.16,-2.72,0.17,-16.17,
THC,Healthcare,4.33,13.3,57.63,47.08,0.09,532.86,
TDC,Technology,0.28,14.8,4.08,3.87,0.09,40.96,
TER,Technology,0.67,14.8,9.92,10.21,0.16,64.2,
TSLA,Consumer Cyclical,11.35,12.0,136.15,159.8,3.23,49.54,
TTEK,Industrials,0.65,10.1,6.54,5.71,0.26,21.72,
TXN,Technology,7.51,14.8,111.13,102.45,0.91,112.69,
TPL,Energy,0.61,6.5,3.98,4.52,0.02,196.66,
TXRH,Consumer Cyclical,0.72,12.0,8.59,7.85,0.07,118.27,
TXT,Industrials,1.51,10.1,15.23,12.5,0.18,70.12,
TMO,Healthcare,10.82,13.3,143.88,115.04,0.38,304.65,
TFSL,,,,,,,,Missing EBITDA
UBER,Technology,5.23,14.8,77.4,72.43,2.09,34.73,
UI,Technology,0.74,14.8,10.88,10.65,0.06,176.08,
UDR,Real Estate,1.01,10.2,10.29,4.33,0.33,13.07,
UGI,Utilities,1.61,9.0,14.47,7.87,0.21,36.61,
PATH,Technology,-0.09,14.8,-1.31,0.16,0.46,0.36,
ULTA,Consumer Cyclical,1.84,12.0,22.08,20.56,0.04,457.38,
RARE,Healthcare,-0.47,13.3,-6.25,-6.64,0.1,-68.92,
UAA,Consumer Cyclical,0.35,12.0,4.21,3.44,0.19,18.22,
UA,Consumer Cyclical,0.35,12.0,4.21,3.44,0.2,16.96,
UNP,Industrials,12.37,10.1,124.9,92.02,0.59,155.17,
UAL,Industrials,8.33,10.1,84.08,66.91,0.32,206.69,
UPS,Industrials,11.5,10.1,116.12,93.5,0.74,127.03,
URI,Industrials,4.51,10.1,45.57,31.66,0.06,492.13,
UTHR,Healthcare,1.6,13.3,21.24,24.29,0.05,537.08,
UWMC,Financial Services,0.73,9.8,7.12,-3.58,0.22,-16.37,
UNH,Healthcare,33.58,13.3,446.57,399.4,0.91,440.29,
U,Technology,-0.09,14.8,-1.26,-1.91,0.42,-4.53,
OLED,Technology,0.3,14.8,4.47,4.98,0.05,104.66,
UHS,Healthcare,2.41,13.3,32.07,27.2,0.06,475.68,
UNM,Financial Services,2.26,9.8,22.14,21.59,0.17,126.76,
USFD,Consumer Defensive,1.65,11.2,18.5,13.55,0.23,60.18,
MTN,Consumer Cyclical,0.84,12.0,10.13,7.64,0.04,205.72,
VLO,Energy,5.05,6.5,32.84,26.73,0.31,86.04,
VMI,Industrials,0.6,10.1,6.01,5.36,0.02,271.3,
VVV,Consumer Cyclical,0.44,12.0,5.32,5.32,0.13,41.86,
VEEV,Healthcare,0.81,13.3,10.78,16.77,0.16,102.65,
VTR,Real Estate,2.02,10.2,20.58,7.92,0.45,17.42,
VLTO,Industrials,1.33,10.1,13.39,12.09,0.25,48.72,
VRSN,Technology,1.12,14.8,16.58,15.38,0.09,164.63,
VRSK,Industrials,1.45,10.1,14.62,11.82,0.14,84.6,
VZ,Communication Services,49.92,12.7,633.95,462.67,4.22,109.73,
VRTX,Healthcare,4.8,13.3,63.86,68.71,0.26,268.0,
VRT,Industrials,1.87,10.1,18.89,17.48,0.38,45.77,
VSTS,Industrials,0.24,10.1,2.38,1.0,0.13,7.57,
VFC,Consumer Cyclical,0.77,12.0,9.25,4.22,0.39,10.8,
VTRS,Healthcare,4.11,13.3,54.7,40.75,1.17,34.95,
VICI,Real Estate,3.64,10.2,37.09,19.48,1.07,18.27,
VIK,Consumer Cyclical,1.38,12.0,16.55,13.79,0.32,43.73,
VKTX,,,,,,,,Missing EBITDA
VNOM,Energy,0.9,6.5,5.83,4.76,0.13,36.28,
VIRT,,,,,,,,Missing EBITDA
V,Financial Services,27.24,9.8,266.92,260.96,1.7,153.63,
VST,Utilities,6.67,9.0,60.07,42.47,0.34,125.16,
VNT,Technology,0.7,14.8,10.31,8.53,0.15,58.15,
VNO,Real Estate,0.82,10.2,8.38,1.76,0.19,9.17,
VOYA,Financial Services,0.97,9.8,9.55,6.25,0.1,64.87,
VMC,Basic Materials,2.18,8.7,18.98,13.82,0.13,104.57,
WPC,Real Estate,1.37,10.2,13.94,5.54,0.22,25.29,
WRB,Financial Services,2.5,9.8,24.5,24.43,0.38,64.4,
GWW,Industrials,2.95,10.1,29.8,27.66,0.05,578.33,
WAB,Industrials,2.21,10.1,22.34,18.72,0.17,109.5,
WBA,Healthcare,3.03,13.3,40.29,11.12,0.87,12.84,
WMT,Consumer Defensive,42.76,11.2,478.88,419.5,7.98,52.57,
DIS,Communication Services,19.49,12.7,247.54,210.64,1.8,117.16,
WBD,Communication Services,7.97,12.7,101.24,71.53,2.48,28.89,
WM,Industrials,7.02,10.1,70.87,47.29,0.4,117.4,
WAT,Healthcare,1.06,13.3,14.04,12.81,0.06,215.2,
WSO,Industrials,0.78,10.1,7.91,7.74,0.03,222.0,
W,Consumer Cyclical,-0.09,12.0,-1.08,-3.61,0.11,-34.4,
WFRD,Energy,1.08,6.5,7.02,6.22,0.07,86.53,
WBS,,,,,,,,Missing EBITDA
WEC,Utilities,3.67,9.0,33.03,12.49,0.32,38.81,
WFC,,,,,,,,Missing EBITDA
WELL,Real Estate,3.47,10.2,35.39,22.5,0.67,33.63,
WEN,Consumer Cyclical,0.52,12.0,6.22,2.39,0.19,12.47,
WCC,Industrials,1.39,10.1,14.06,8.34,0.05,171.29,
WST,Healthcare,0.79,13.3,10.5,10.7,0.07,148.83,
WAL,,,,,,,,Missing EBITDA
WDC,Technology,2.6,14.8,38.48,38.48,0.35,110.3,
WU,Financial Services,0.9,9.8,8.86,7.13,0.32,22.07,
WLK,Basic Materials,1.3,8.7,11.28,7.94,0.13,61.92,
WEX,Technology,0.9,14.8,13.31,12.78,0.03,373.02,
WY,Real Estate,1.03,10.2,10.49,5.89,0.72,8.16,
WHR,Consumer Cyclical,1.23,12.0,14.71,7.46,0.06,133.43,
WTM,,,,,,,,Missing EBITDA
WMB,Energy,6.03,6.5,39.18,11.51,1.22,9.42,
WSM,Consumer Cyclical,1.64,12.0,19.64,19.32,0.12,157.08,
WTW,Financial Services,2.59,9.8,25.42,21.48,0.1,220.17,
WSC,Industrials,0.68,10.1,6.89,2.94,0.18,16.15,
WING,Consumer Cyclical,0.2,12.0,2.39,1.35,0.03,48.27,
WTFC,,,,,,,,Missing EBITDA
WOLF,Technology,-0.31,14.8,-4.62,-9.89,0.16,-63.58,
WWD,Industrials,0.55,10.1,5.55,5.03,0.06,83.93,
WDAY,Technology,0.97,14.8,14.31,18.89,0.22,87.55,
WH,Consumer Cyclical,0.61,12.0,7.34,4.82,0.08,63.09,
WYNN,Consumer Cyclical,1.7,12.0,20.46,10.27,0.1,98.78,
